NetflixID,Title,Type,ReleaseYear,Synopsis,Runtime,Image,IMDbRating,RT Critic,RT Audience
80213712,Grass Is Greener,movie,2019,It lit up jazz and hip-hop -- and ignited a war on drugs steeped in racial injustice. Experts explore America's complicated relationship with weed.,1h37m,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABVKxTgfSIdR6ueMlL9farbKGCOc3RgHdo4zOHuumFZC3CdApdEMT1Gx4L7-6nc-a9qiT6DdJ5GngNiq-pbJ9LzUf3NhmBeyRdzFzN7LC3Kuq54fsnycCrQk3yKQ.jpg?r=3ce,7.2,88.0,65.0
81080942,The Ruthless,movie,2019,A rebellious teen grows up to become one of Milan's most ambitious criminals during the golden years of the 'ndrangheta Mafia in the 1980s.,1h51m,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABd1lPMZtH3DssS2FcaK8klRHNkh2zqI4HK-n1zrt6Gu0EkvpJDpBegC_L0gxTdC3CEEUQJ1r6E0QSNHdwVhb7F6eopn9eYGDbY9_7zKXGxxlw-smq_v6WGzqf0Q.jpg?r=397,6.3,,49.0
81033430,Music Teacher,movie,2019,A dejected small-town music teacher grapples with guilt and regret when his ex-pupil who once loved him returns home as the star he always wanted to be.,1h41m,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABSswtWPcZHsup81N-i-0LT_jlVvKg-N_qYtJeUNUmdHLI7Vwfsq91NAz_abAuatTSqzxZEKEZJlZUP0H_8TUkwKkfAuBMSJ28ZqjLljwLFM8YiK6e8TDVXgJXvk.jpg?r=d96,6.5,,60.0
81073387,A Fortunate Man,movie,2018,"A gifted engineer flees his austere roots to pursue wealth and success among Copenhagen's elite, but the pride propelling him threatens to be his ruin.",2h47m,https://occ-0-64-58.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABRPuj-2ikjTzIlChHuWprV60S6O-tkkVN7haKmnqI0wy4Yi0kxqhFncekLBeosw1cIhNqWSoXyFdf9P2vL8nbvHyKcdC4Lhp-9gcfiK3ZFbf0tdb02KYhkDkQdM.jpg?r=10b,7.2,80.0,70.0
80202920,Someone Great,movie,2019,"On the heels of a blindsiding breakup, music journalist Jenny braces for a new beginning -- and one last adventure with her closest friends.",1h32m,https://occ-0-299-300.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABQigbST1N8VbLRGRol_j6xOt4IpNVsrb5lID3GxGeq97wkwRrMDTeE8tFN4FOB8QQ5qYwCwLKg5KZkyz2OOjA9J42vYg_9qMpD99WivL4unCBONz-goa6IixJ30.jpg?r=653,6.2,82.0,65.0
80196883,Rilakkuma and Kaoru,series,2019,"Her life might be a little mundane, but Kaoru gets to go home to Rilakkuma, her endearingly lazy roommate who happens to be a fuzzy toy bear.",,https://occ-0-1952-2433.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABbZuqbZPW-Xs2QIYli3sy_CFhJPNjyWzb5mEZZX6JlMs5kDZ0WFpHBSd8Rs9p0JdgptvyDBQSe3q9tF6YqHO1oBhsE_AHh7FAyE3_ngnID75EOaJu8iWnLuzjX4.jpg?r=877,8.5,100.0,93.0
81010166,Bren&eacute; Brown: The Call to Courage,movie,2019,"With humor and empathy, Bren&eacute; Brown discusses what it takes to choose courage over comfort in a culture defined by scarcity, fear and uncertainty.",1h16m,https://occ-0-32-34.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABR5cSpHYEgsrr0-Q2LEBkZPCmmzneytyd2CN8t-37e_YNQKIIvnIpOm52m2Y4DbmmmLveZ0QqsL8O7pJ4Axgdun5rlG_pPJ6ay5ghTbJG1YuukdYrBCs4y_Bczk.jpg?r=6d0,7.7,,
80198950,Lunatics,series,2019,This mockumentary series follows the peculiar lives of six eccentric -- and sometimes obscene -- misfits who march to their own beat.,,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAAAVWCFrbiRlDqIwn-bIPcPlmZQjuxHr2Bp-_KK7e0wSNqXFUKAlfn64_H58Qos96YVPFG5CEp_teouv1jtlBjUg8fmR-xBKC155aaPNi8vn8x005GKmrozCBdKzw.jpg?r=57c,6.6,11.0,89.0
80244679,A 3 Minute Hug,movie,2019,This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.,28m,https://occ-0-32-34.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABRDObITqEEzDv7L6j_kW-1jiZcPO49b6JP6L9ND59y4IBG42J4uBWkad7QOqsLjj0Z5LFB8LZ6pWWTooxeDnQyDE1csdEUKY-KYIjE_nPlmOSIcwpJ28qStY10c.jpg?r=9be,,,
81037733,Brampton's Own,movie,2018,"After 12 years in the minors, a struggling baseball player retires, returns home and faces the last person he struck out with -- his ex-girlfriend.",1h29m,https://occ-0-32-34.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABTNqoD0PWckiNn3PNJelCl26WlyoD4AHle18M04HffDZLIi5JfwhD3RF4R0-0fRCVbPheT7xy45lgK-XvvtU9PfaQA.jpg?r=855,5.2,,
